Gene_ID,Gene_Name
GeneID:16145,Igtp
GeneID:216805,Flcn
GeneID:100504104,Gm16062
GeneID:26572,Cops3
GeneID:24082,Gm16516
GeneID:26397,Map2k3
GeneID:668239,Rps13-ps5
GeneID:11670,Aldh3a1
GeneID:94092,Trim16
GeneID:66338,Cdrt4
GeneID:18858,Pmp22
GeneID:216831,Arhgap44
GeneID:14457,Gas7
GeneID:216835,Usp43
GeneID:66910,Tmem107
GeneID:100216530,Snord118
GeneID:216846,Cntrob
GeneID:245828,Trappc1
GeneID:16499,Kcnab3
GeneID:80515,A030009H04Rik
GeneID:69215,Sat2
GeneID:23879,Fxr2
GeneID:100316749,Mir467f
GeneID:20670,Sox15
GeneID:24070,Mpdu1
GeneID:100316840,Mir1934
GeneID:12514,Cd68
GeneID:13681,Eif4a1
GeneID:69186,Tmem256
GeneID:70310,Plscr3
GeneID:83813,Tnk1
GeneID:75273,Pelp1
GeneID:66172,Med11
GeneID:66102,Cxcl16
GeneID:574428,Zmynd15
GeneID:216871,Gltpd2
GeneID:19175,Psmb6
GeneID:18806,Pld2
GeneID:67863,Slc25a11
GeneID:70510,Rnf167
GeneID:18643,Pfn1
GeneID:54189,Rabep1
GeneID:216892,Spns2
GeneID:18472,Pafah1b1
GeneID:319822,Smyd4
GeneID:192652,Wdr81
GeneID:100042498,Mir22hg
GeneID:387141,Mir22
GeneID:380712,Tlcd2
GeneID:18230,Nxn
GeneID:109934,Abr
GeneID:237860,Ssh2
GeneID:360013,Myo18a
GeneID:140859,Nek8
GeneID:68385,Tlcd1
GeneID:268449,Rpl23a
GeneID:100529076,Snord42a
GeneID:100216539,Snord4a
GeneID:100529077,Snord42b
GeneID:19376,Rab34
GeneID:16706,Ksr1
GeneID:104522,AU040972
GeneID:54394,Crlf3
GeneID:237877,Atad5
GeneID:20290,Ccl1
GeneID:67338,Rffl
GeneID:192197,Bcas3
GeneID:69909,2610027K06Rik
GeneID:75909,Vmp1
GeneID:217057,Ptrh2
GeneID:77864,Ypel2
GeneID:18952,Sept4
GeneID:170749,Mtmr4
GeneID:207742,Rnf43
GeneID:11640,Akap1
GeneID:67468,Mmd
GeneID:76408,Abcc3
GeneID:217124,Ppp1r9b
GeneID:93670,Tac4
GeneID:217127,Kat7
GeneID:78473,Skap1
GeneID:69884,2010300F17Rik
GeneID:69729,2410003L11Rik
GeneID:103551,E130012A19Rik
GeneID:22658,Pcgf2
GeneID:26446,Psmb3
GeneID:72324,Plxdc1
GeneID:217151,Arl5c
GeneID:19921,Rpl19
GeneID:217154,Stac2
GeneID:57911,Gsdma
GeneID:21833,Thra
GeneID:217166,Nr1d1
GeneID:75706,Krt24
GeneID:107656,Krt9
GeneID:16664,Krt14
GeneID:27419,Naglu
GeneID:15485,Hsd17b1
GeneID:71743,Coasy
GeneID:21428,Mlx
GeneID:19183,Psmc3ip
GeneID:19848,Rnu2-10
GeneID:80981,Arl4d
GeneID:15184,Hdac5
GeneID:51799,Rundc3a
GeneID:68066,Slc25a39
GeneID:16399,Itga2b
GeneID:237943,Gpatch8
GeneID:57265,Fzd2
GeneID:68087,Dcakd
GeneID:53859,Map3k14
GeneID:353047,Plekhm1
GeneID:17762,Mapt
GeneID:217232,Cdc27
GeneID:17896,Myl4
GeneID:629959,Gm7020
