GeneName
AADAC
ABCB6
ABCC1
ABCC3
ABCC5
ABHD11
ABHD2
ABHD4
ACOT13
ADAM23
ADD3
ADH7
AKAP1
AKR1B1
AKR1B10
AKR1C1
AKR1C2
AKR1C3
AKR1C4
ALDH1A1
ALDH3A1
ALDH3A2
ANXA10
ARTN
ASF1A
ASNS
ASPH
ATP2B1
B4GALT4
BBS1
BCL6
BDH1
BDNF
BMP7
BPTF
C17orf90
CA11
CABYR
CACNA2D3
CBR1
CCDC93
CD9
CDK5RAP2
CES1
CHODL
CHP2
CHST7
CISH
CLDN8
CLIP4
CLK2
CLUAP1
COCH
COX5B
CRIP1
CTAGE15P
CTAGE4
CTAGE8
CTAGE9
CTAGE9
CXorf57
CYB5R2
CYP4F11
CYP4F12
CYP4F2
CYP4F2
CYP4F3
CYP4F3
DBI
DIAPH2
DISC1
DLX5
DVL2
EFHC1
EHBP1
EIF4H
ENTPD3
EPCAM
EPHX1
EPN2
EPS8
ERCC3
ETFB
FAM20B
FARP1
FECH
FGFR2
FOXE1
FTL
FXYD3
FZD10
FZD7
G6PD
GAA
GABARAPL1
GABRE
GAMT
GATAD1
GCLC
GCLM
GLA
GLI1
GPI
GPR172B
GPX2
GSR
GSTA1
GSTA4
GSTM1
GSTM2
GSTM3
GSTM4
GTF2I
GTF2I
GTF2IP1
GTF2IRD1
HDAC4
HHAT
HK1
HR
IDH1
IKBKB
JTB
KEAP1
KIAA0319
LOC100093631
LOC100505523
LOC150776
LOC441259
LOC730101
LRP8
LSG1
MAFG
MAP2
MAPK10
MARK1
MATN2
ME1
MEGF9
MKNK1
MKRN1
MRPS14
MT1G
MT2A
MTCP1NB
MTUS1
MYST4
NAA38
NAMPT
NARF
NDRG4
NFX1
NQO1
NRCAM
NSUN5P1
NSUN5P2
NT5C
NTRK2
ODC1
OLFM1
OSGIN1
PAK1
PGD
PGS1
PILRB
PIR
PKP4
PLA2G16
PMS2L2
PMS2L2
PMS2P1
PMS2P1
PMS2P11
PMS2P3
PMS2P5
PMS2P6
POLR2J
POLR2J2
POM121
POMZP3
POR
PPAP2C
PRDX1
PRKX
PRKX
PRKY
PRPSAP1
PRPSAP2
PTDSS1
RAB6B
RABL2A
RABL2B
RCOR3
REPIN1
RIT1
RPA1
RPIA
SCN9A
SENP3
SETDB1
SLC12A8
SLC25A36
SLC27A2
SLC6A10P
SLC6A8
SLC6A8
SLC7A11
SLC9A3R1
SLCO3A1
SMAD3
SMPD4
SMYD3
SOX12
SOX13
SOX2
SPIN2A
SPIN2B
STARD7
SUSD4
TALDO1
TCF4
TDP2
TKT
TMEM14A
TMEM158
TMEM51
TRIM16
TRIM2
TRMT2B
TSKU
TSNAX-DISC1
TSPAN7
TTC15
TTLL7
TXNRD1
UBE2Q1
UBXN4
UGT1A1
UGT1A10
UGT1A3
UGT1A4
UGT1A5
UGT1A6
UGT1A7
UGT1A8
UGT1A8
UGT1A9
UNC119
UNKL
USP21
VPS72
WASF1
WNT5A
XPA
ZHX2
ZNF323
ZP3
