"x"
"AKR1C2"
"ARTN"
"ASF1A"
"ASNS"
"BPTF"
"CCDC93"
"CD9"
"COCH"
"CTAGE9"
"EIF4H"
"ERCC3"
"FECH"
"GPI"
"GSTM2"
"GTF2I"
"JTB"
"LSG1"
"MAFG"
"ME1"
"MRPS14"
"NAA38"
"NAMPT"
"PAK1"
"PGD"
"PGS1"
"POM121"
"POMZP3"
"PTDSS1"
"RABL2A"
"RPA1"
"SLC6A8"
"SOX2"
"SPIN2A"
"STARD7"
"TDP2"
"TXNRD1"
"UBXN4"
"UGT1A5"
"UGT1A7"
"UGT1A8"
"UNC119"
"VPS72"
