Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
DDX47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DDX56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHDDS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHFRL1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHX15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DKC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DTL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DTYMK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DYNC1I2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEF1A1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEF2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EFTUD2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF1AX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF2B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF2S1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF2S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF2S3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF3A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF3B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF3I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIF4A3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EPRS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
